q1_experience	q2_country	q2_region	q3_ecosystem	q4_field	q5_organisms	q6_functions	q7_trait	q8_body_size	q9_enzymatic	q10_chla	q11_growth_form	q12_nutrient_uptake	q13_om_decomp	q14_none	q14_biological	q14_effect_response	q14_hard_soft
ECR-postdoc	portugal	Europe	rivers	other	multiple	multifunctionality	none	structural measure	functional trait	functional trait	structural measure	structural measure	functional trait	any	biological_ecological_traits	no	no
ECR-postdoc	spain	Europe	rivers	biogeochem	none	nutrients cycle	none	dont know	dont know	dont know	dont know	structural measure	structural measure	none	no	no	no
ECR-postdoc	norway	Europe	lakes reservoirs	biogeochem	microbes	nutrients cycle	functional trait	structural measure	functional trait	structural measure	biological trait	biological trait	functional trait	any	biological_ecological_traits	effect_response_traits	no
ECR-postdoc	switzerland	Europe	lakes reservoirs	community eco	microbes	multifunctionality	biological trait	functional trait	biological trait	biological trait	biological trait	biological trait	structural measure	any	biological_ecological_traits	no	no
predoctoral	spain	Europe	rivers	ecohydrology	multiple	none	biological trait	structural measure	ecosystem function	structural measure	structural measure	dont know	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	spain	Europe	lakes reservoirs	community eco	microbes	multifunctionality	functional trait	biological trait	ecosystem function	structural measure	biological trait	functional trait	functional trait	any	biological_ecological_traits	no	no
ECR-postdoc	germany	Europe	rivers	biogeochem	none	nutrients cycle	none	biological trait	functional trait	functional trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	portugal	Europe	lakes reservoirs	other	invertebrates	trophic	none	biological trait	dont know	dont know	biological trait	functional trait	ecosystem function	none	no	no	no
predoctoral	portugal	Europe	rivers	community eco	vertebrates	none	none	biological trait	functional trait	biological trait	biological trait	functional trait	functional trait	none	no	no	no
predoctoral	brazil	America	wetlands	community eco	microbes	none	functional trait	functional trait	dont know	dont know	functional trait	functional trait	dont know	any	biological_ecological_traits	effect_response_traits	no
senior researcher	spain	Europe	rivers	community eco	invertebrates	multifunctionality	functional trait	functional trait	ecosystem function	biological trait	functional trait	ecosystem function	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	uk	Europe	lakes reservoirs	functional eco	multiple	trophic	functional trait	biological trait	dont know	biological trait	biological trait	biological trait	dont know	any	biological_ecological_traits	effect_response_traits	no
professor	spain	Europe	rivers	biogeochem	multiple	multifunctionality	biological trait	biological trait	functional trait	functional trait	functional trait	functional trait	functional trait	any	biological_ecological_traits	effect_response_traits	no
predoctoral	spain	Europe	rivers	functional eco	multiple	OM decomposition	functional trait	functional trait	ecosystem function	structural measure	functional trait	functional trait	ecosystem function	any	no	effect_response_traits	no
professor	spain	Europe	ponds	community eco	invertebrates	none	none	dont know	dont know	dont know	biological trait	biological trait	biological trait	none	no	no	no
ECR-postdoc	chile	America	lakes reservoirs	community eco	microbes	multifunctionality	biological trait	structural measure	ecosystem function	functional trait	structural measure	functional trait	ecosystem function	none	no	no	no
predoctoral	colombia 	America	rivers	community eco	invertebrates	none	biological trait	biological trait	functional trait	structural measure	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	hard_soft_traits
senior researcher	australia	Oceania	rivers	community eco	multiple	none	functional trait	structural measure	ecosystem function	biological trait	biological trait	biological trait	structural measure	any	biological_ecological_traits	no	no
senior researcher	spain	Europe	rivers	community eco	invertebrates	none	none	biological trait	structural measure	structural measure	structural measure	structural measure	structural measure	any	biological_ecological_traits	no	no
senior researcher	spain	Europe	rivers	community eco	invertebrates	none	biological trait	biological trait	structural measure	biological trait	biological trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
professor	spain	Europe	lakes reservoirs	community eco	microbes	multifunctionality	biological trait	biological trait	functional trait	structural measure	structural measure	functional trait	ecosystem function	none	no	no	no
senior researcher	spain	Europe	rivers	community eco	invertebrates	none	biological trait	biological trait	ecosystem function	functional trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
ECR-postdoc	spain	Europe	rivers	community eco	invertebrates	nutrients cycle	ecosystem function	ecosystem function	dont know	biological trait	ecosystem function	ecosystem function	biological trait	any	biological_ecological_traits	no	no
professor	spain	Europe	lakes reservoirs	biogeochem	microbes	trophic	functional trait	biological trait	ecosystem function	structural measure	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	spain	Europe	rivers	community eco	invertebrates	trophic	functional trait	biological trait	ecosystem function	biological trait	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
professor	spain	Europe	rivers	biogeochem	microbes	multifunctionality	biological trait	structural measure	functional trait	structural measure	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	usa	America	rivers	biogeochem	multiple	multifunctionality	functional trait	functional trait	ecosystem function	structural measure	functional trait	dont know	ecosystem function	none	no	no	no
senior researcher	spain	Europe	rivers	community eco	invertebrates	none	functional trait	biological trait	ecosystem function	functional trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
professor	spain	Europe	rivers	community eco	invertebrates	none	biological trait	biological trait	ecosystem function	biological trait	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	spain	Europe	rivers	other	microbes	multifunctionality	none	biological trait	ecosystem function	functional trait	biological trait	functional trait	ecosystem function	any	no	effect_response_traits	no
predoctoral	spain	Europe	rivers	other	microbes	multifunctionality	ecosystem function	structural measure	functional trait	structural measure	structural measure	functional trait	functional trait	any	biological_ecological_traits	effect_response_traits	no
professor	spain	Europe	wetlands	biogeochem	invertebrates	multifunctionality	none	biological trait	functional trait	functional trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	spain	Europe	lakes reservoirs	community eco	microbes	none	none	structural measure	ecosystem function	ecosystem function	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
professor	spain	Europe	rivers	community eco	multiple	none	none	structural measure	biological trait	biological trait	functional trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	canada	America	rivers	ecohydrology	invertebrates	none	biological trait	biological trait	ecosystem function	ecosystem function	biological trait	ecosystem function	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	spain	Europe	rivers	functional eco	multiple	OM decomposition	functional trait	biological trait	functional trait	structural measure	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	argentina	America	rivers	community eco	invertebrates	none	functional trait	biological trait	functional trait	biological trait	biological trait	functional trait	functional trait	any	biological_ecological_traits	effect_response_traits	no
professor	spain	Europe	rivers	community eco	invertebrates	none	biological trait	biological trait	structural measure	biological trait	biological trait	dont know	structural measure	none	no	no	no
ECR-postdoc	brazil	America	wetlands	community eco	vertebrates	multifunctionality	functional trait	functional trait	dont know	functional trait	functional trait	functional trait	ecosystem function	any	no	effect_response_traits	hard_soft_traits
ECR-postdoc	france	Europe	rivers	community eco	invertebrates	none	functional trait	biological trait	ecosystem function	dont know	dont know	biological trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	spain	Europe	rivers	functional eco	multiple	multifunctionality	biological trait	biological trait	ecosystem function	functional trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
professor	portugal	Europe	lakes reservoirs	other	multiple	none	none	structural measure	functional trait	functional trait	functional trait	functional trait	functional trait	none	no	no	no
professor	spain	Europe	lakes reservoirs	functional eco	microbes	multifunctionality	none	biological trait	ecosystem function	biological trait	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
ECR-postdoc	brazil	America	other	community eco	invertebrates	none	functional trait	functional trait	dont know	dont know	ecosystem function	dont know	ecosystem function	any	no	effect_response_traits	no
professor	spain	Europe	ponds	community eco	invertebrates	none	none	dont know	functional trait	ecosystem function	ecosystem function	structural measure	structural measure	any	biological_ecological_traits	no	no
ECR-postdoc	brazil	America	rivers	community eco	invertebrates	none	functional trait	functional trait	ecosystem function	functional trait	functional trait	biological trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	hard_soft_traits
professor	spain	Europe	rivers	functional eco	riparian veg.	OM decomposition	biological trait	biological trait	functional trait	biological trait	ecosystem function	biological trait	ecosystem function	any	biological_ecological_traits	no	no
professor	spain	Europe	lakes reservoirs	community eco	vertebrates	trophic	functional trait	functional trait	ecosystem function	ecosystem function	functional trait	ecosystem function	ecosystem function	any	biological_ecological_traits	no	no
professor	spain	Europe	wetlands	functional eco	microbes	nutrients cycle	none	biological trait	functional trait	biological trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	spain	Europe	rivers	functional eco	invertebrates	multifunctionality	functional trait	biological trait	functional trait	structural measure	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	hard_soft_traits
professor	portugal	Europe	rivers	functional eco	invertebrates	none	biological trait	biological trait	functional trait	ecosystem function	biological trait	ecosystem function	ecosystem function	any	biological_ecological_traits	no	no
professor	spain	Europe	rivers	community eco	invertebrates	OM decomposition	biological trait	biological trait	functional trait	structural measure	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	spain	Europe	rivers	functional eco	vertebrates	trophic	none	biological trait	ecosystem function	structural measure	dont know	functional trait	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	france	Europe	ponds	functional eco	multiple	trophic	biological trait	functional trait	functional trait	biological trait	ecosystem function	functional trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	sweden	Europe	rivers	community eco	invertebrates	none	biological trait	biological trait	biological trait	biological trait	biological trait	functional trait	functional trait	any	biological_ecological_traits	effect_response_traits	no
professor	spain	Europe	rivers	community eco	microbes	metabolism	biological trait	structural measure	functional trait	biological trait	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
senior researcher	spain	Europe	lakes reservoirs	biogeochem	macrophytes	nutrients cycle	none	functional trait	functional trait	ecosystem function	functional trait	ecosystem function	ecosystem function	none	no	no	no
ECR-postdoc	spain	Europe	ponds	community eco	invertebrates	multifunctionality	biological trait	biological trait	functional trait	functional trait	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	spain	Europe	rivers	community eco	invertebrates	trophic	none	biological trait	functional trait	structural measure	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	usa	America	rivers	community eco	vertebrates	trophic	none	biological trait	functional trait	biological trait	dont know	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
senior researcher	spain	Europe	rivers	community eco	invertebrates	none	biological trait	biological trait	dont know	dont know	biological trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	usa	America	lakes reservoirs	community eco	microbes	none	functional trait	functional trait	functional trait	functional trait	ecosystem function	biological trait	ecosystem function	any	biological_ecological_traits	no	no
professor	spain	Europe	rivers	community eco	invertebrates	OM decomposition	functional trait	biological trait	functional trait	biological trait	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
professor	portugal	Europe	lakes reservoirs	community eco	none	none	none	structural measure	functional trait	functional trait	structural measure	functional trait	functional trait	any	biological_ecological_traits	effect_response_traits	no
professor	spain	Europe	ponds	community eco	invertebrates	none	biological trait	biological trait	ecosystem function	ecosystem function	biological trait	ecosystem function	ecosystem function	any	biological_ecological_traits	no	no
professor	spain	Europe	lakes reservoirs	biogeochem	multiple	multifunctionality	ecosystem function	functional trait	ecosystem function	functional trait	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
professor	argentina	America	rivers	biogeochem	multiple	trophic	ecosystem function	dont know	dont know	structural measure	structural measure	functional trait	ecosystem function	none	no	no	no
ECR-postdoc	spain	Europe	lakes reservoirs	community eco	vertebrates	trophic	functional trait	biological trait	ecosystem function	ecosystem function	ecosystem function	ecosystem function	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
professor	spain	Europe	lakes reservoirs	biogeochem	none	metabolism	none	structural measure	ecosystem function	functional trait	dont know	functional trait	ecosystem function	none	no	no	no
ECR-postdoc	germany	Europe	lakes reservoirs	functional eco	multiple	multifunctionality	functional trait	structural measure	ecosystem function	biological trait	structural measure	functional trait	ecosystem function	any	biological_ecological_traits	no	no
professor	spain	Europe	wetlands	biogeochem	none	none	none	functional trait	ecosystem function	structural measure	biological trait	dont know	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	portugal	Europe	rivers	community eco	invertebrates	none	functional trait	biological trait	ecosystem function	functional trait	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
predoctoral	germany	Europe	rivers	other	vertebrates	none	none	biological trait	functional trait	dont know	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
professor	spain	Europe	rivers	community eco	invertebrates	multifunctionality	biological trait	biological trait	functional trait	functional trait	biological trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	canada	America	lakes reservoirs	functional eco	multiple	multifunctionality	functional trait	functional trait	ecosystem function	biological trait	ecosystem function	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	hard_soft_traits
professor	canada	America	lakes reservoirs	community eco	invertebrates	none	functional trait	functional trait	ecosystem function	functional trait	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	hard_soft_traits
predoctoral	canada	America	lakes reservoirs	community eco	multiple	trophic	functional trait	functional trait	dont know	biological trait	functional trait	biological trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
predoctoral	canada	America	rivers	community eco	microbes	none	none	biological trait	biological trait	biological trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	usa	America	rivers	biogeochem	none	multifunctionality	functional trait	biological trait	ecosystem function	structural measure	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	canada	America	lakes reservoirs	community eco	invertebrates	none	functional trait	functional trait	ecosystem function	biological trait	structural measure	biological trait	ecosystem function	any	no	no	hard_soft_traits
ECR-postdoc	brazil	America	wetlands	community eco	microbes	none	functional trait	functional trait	functional trait	functional trait	functional trait	functional trait	ecosystem function	any	no	effect_response_traits	hard_soft_traits
ECR-postdoc	ecuador 	America	rivers	functional eco	multiple	multifunctionality	biological trait	biological trait	functional trait	structural measure	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
professor	spain	Europe	other	ecohydrology	multiple	multifunctionality	none	biological trait	functional trait	biological trait	biological trait	biological trait	ecosystem function	none	no	no	no
predoctoral	spain	Europe	ponds	community eco	invertebrates	none	biological trait	biological trait	functional trait	dont know	dont know	functional trait	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	germany	Europe	rivers	functional eco	multiple	OM decomposition	functional trait	biological trait	dont know	functional trait	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
professor	spain	Europe	wetlands	functional eco	macrophytes	multifunctionality	biological trait	structural measure	functional trait	functional trait	biological trait	functional trait	functional trait	any	biological_ecological_traits	no	no
professor	spain	Europe	wetlands	other	multiple	multifunctionality	ecosystem function	structural measure	ecosystem function	structural measure	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
ECR-postdoc	uk	Europe	rivers	community eco	invertebrates	multifunctionality	biological trait	biological trait	ecosystem function	biological trait	biological trait	biological trait	biological trait	any	biological_ecological_traits	no	no
senior researcher	spain	Europe	lakes reservoirs	biogeochem	multiple	none	none	biological trait	dont know	biological trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	finland	Europe	rivers	community eco	invertebrates	multifunctionality	biological trait	biological trait	ecosystem function	ecosystem function	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
professor	spain	Europe	wetlands	biogeochem	none	nutrients cycle	none	dont know	ecosystem function	biological trait	biological trait	biological trait	ecosystem function	none	no	no	no
ECR-postdoc	sweden	Europe	ponds	biogeochem	none	nutrients cycle	none	biological trait	ecosystem function	ecosystem function	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	spain	Europe	ponds	community eco	vertebrates	none	none	structural measure	ecosystem function	biological trait	biological trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
professor	usa	America	rivers	functional eco	multiple	multifunctionality	none	structural measure	dont know	dont know	dont know	functional trait	ecosystem function	none	no	no	no
senior researcher	spain	Europe	other	other	microbes	none	biological trait	biological trait	functional trait	functional trait	biological trait	functional trait	functional trait	any	biological_ecological_traits	no	no
predoctoral	spain	Europe	ponds	community eco	multiple	multifunctionality	biological trait	biological trait	functional trait	biological trait	ecosystem function	biological trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	spain	Europe	ponds	community eco	macrophytes	none	none	biological trait	dont know	biological trait	biological trait	dont know	dont know	none	no	no	no
predoctoral	south africa	Africa	rivers	community eco	multiple	none	ecosystem function	biological trait	ecosystem function	functional trait	structural measure	functional trait	ecosystem function	any	biological_ecological_traits	no	no
professor	spain	Europe	lakes reservoirs	functional eco	microbes	metabolism	functional trait	functional trait	functional trait	functional trait	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
senior researcher	ireland	Europe	lakes reservoirs	biogeochem	multiple	multifunctionality	biological trait	biological trait	biological trait	biological trait	biological trait	biological trait	ecosystem function	none	no	no	no
ECR-postdoc	spain	Europe	rivers	community eco	riparian veg.	none	functional trait	functional trait	functional trait	functional trait	functional trait	ecosystem function	ecosystem function	any	biological_ecological_traits	effect_response_traits	hard_soft_traits
predoctoral	south africa	Africa	ponds	community eco	invertebrates	OM decomposition	biological trait	biological trait	ecosystem function	functional trait	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	uk	Europe	rivers	ecohydrology	invertebrates	multifunctionality	functional trait	biological trait	dont know	structural measure	biological trait	functional trait	biological trait	any	biological_ecological_traits	no	no
senior researcher	ireland	Europe	lakes reservoirs	biogeochem	multiple	multifunctionality	biological trait	biological trait	biological trait	biological trait	biological trait	biological trait	ecosystem function	none	no	no	no
ECR-postdoc	usa	America	lakes reservoirs	biogeochem	microbes	multifunctionality	none	biological trait	functional trait	biological trait	structural measure	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
ECR-postdoc	uk	Europe	rivers	community eco	invertebrates	none	functional trait	biological trait	ecosystem function	functional trait	functional trait	biological trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
ECR-postdoc	ireland	Europe	ponds	community eco	macrophytes	metabolism	none	biological trait	ecosystem function	functional trait	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	czech republic	Europe	other	other	multiple	multifunctionality	biological trait	biological trait	functional trait	biological trait	dont know	biological trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	south africa	Africa	rivers	community eco	invertebrates	none	biological trait	structural measure	functional trait	biological trait	structural measure	functional trait	functional trait	none	no	no	no
ECR-postdoc	brazil	America	rivers	community eco	invertebrates	multifunctionality	functional trait	biological trait	dont know	biological trait	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	hard_soft_traits
professor	ecuador 	America	rivers	community eco	invertebrates	trophic	biological trait	biological trait	ecosystem function	biological trait	biological trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
professor	brazil	America	rivers	community eco	invertebrates	none	biological trait	biological trait	dont know	functional trait	dont know	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
ECR-postdoc	brazil	America	rivers	community eco	invertebrates	none	functional trait	functional trait	ecosystem function	ecosystem function	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
professor	brazil	America	lakes reservoirs	community eco	invertebrates	none	functional trait	functional trait	structural measure	ecosystem function	ecosystem function	functional trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	spain	Europe	rivers	ecohydrology	multiple	none	biological trait	biological trait	functional trait	biological trait	biological trait	functional trait	functional trait	any	biological_ecological_traits	effect_response_traits	no
professor	usa	America	rivers	community eco	invertebrates	trophic	biological trait	biological trait	functional trait	functional trait	biological trait	ecosystem function	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
ECR-postdoc	usa	America	rivers	community eco	invertebrates	trophic	biological trait	structural measure	ecosystem function	structural measure	biological trait	functional trait	ecosystem function	none	no	no	no
professor	italy	Europe	rivers	biogeochem	microbes	multifunctionality	biological trait	biological trait	functional trait	biological trait	functional trait	functional trait	functional trait	any	biological_ecological_traits	no	no
predoctoral	spain	Europe	ponds	community eco	invertebrates	none	biological trait	biological trait	structural measure	functional trait	biological trait	functional trait	structural measure	any	biological_ecological_traits	no	no
professor	chile	America	rivers	community eco	vertebrates	multifunctionality	functional trait	biological trait	functional trait	functional trait	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	uk	Europe	rivers	community eco	invertebrates	trophic	functional trait	biological trait	dont know	biological trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
ECR-postdoc	australia	Oceania	rivers	biogeochem	invertebrates	multifunctionality	none	biological trait	ecosystem function	biological trait	functional trait	biological trait	ecosystem function	none	no	no	no
professor	spain	Europe	lakes reservoirs	biogeochem	none	multifunctionality	ecosystem function	structural measure	ecosystem function	ecosystem function	functional trait	ecosystem function	ecosystem function	any	no	effect_response_traits	no
professor	brazil	America	rivers	community eco	invertebrates	OM decomposition	functional trait	biological trait	functional trait	functional trait	biological trait	biological trait	functional trait	any	biological_ecological_traits	no	no
predoctoral	brazil	America	rivers	community eco	invertebrates	none	functional trait	functional trait	ecosystem function	functional trait	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
professor	brazil	America	rivers	biogeochem	invertebrates	OM decomposition	functional trait	biological trait	functional trait	ecosystem function	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
professor	brazil	America	lakes reservoirs	functional eco	invertebrates	multifunctionality	functional trait	functional trait	biological trait	ecosystem function	dont know	biological trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	brazil	America	rivers	community eco	multiple	OM decomposition	functional trait	biological trait	functional trait	ecosystem function	structural measure	biological trait	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	brazil	America	rivers	community eco	invertebrates	multifunctionality	none	functional trait	dont know	dont know	dont know	dont know	ecosystem function	any	no	effect_response_traits	no
ECR-postdoc	brazil	America	rivers	functional eco	multiple	OM decomposition	ecosystem function	functional trait	functional trait	functional trait	functional trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	brazil	America	rivers	community eco	invertebrates	none	biological trait	biological trait	functional trait	functional trait	structural measure	functional trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	brazil	America	rivers	other	invertebrates	OM decomposition	none	structural measure	functional trait	structural measure	functional trait	functional trait	ecosystem function	none	no	no	no
senior researcher	france	Europe	rivers	functional eco	invertebrates	multifunctionality	biological trait	functional trait	dont know	dont know	dont know	biological trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	brazil	America	other	other	invertebrates	none	ecosystem function	biological trait	functional trait	structural measure	structural measure	ecosystem function	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
ECR-postdoc	spain	Europe	rivers	functional eco	microbes	OM decomposition	none	biological trait	ecosystem function	functional trait	biological trait	functional trait	ecosystem function	any	no	effect_response_traits	no
predoctoral	croatia	Europe	other	biogeochem	microbes	multifunctionality	none	dont know	ecosystem function	biological trait	biological trait	biological trait	ecosystem function	none	no	no	no
senior researcher	italy	Europe	rivers	functional eco	microbes	metabolism	none	structural measure	functional trait	functional trait	dont know	functional trait	functional trait	none	no	no	no
predoctoral	portugal	Europe	rivers	community eco	invertebrates	multifunctionality	none	biological trait	functional trait	biological trait	biological trait	biological trait	functional trait	any	biological_ecological_traits	no	no
professor	austria	Europe	rivers	biogeochem	microbes	nutrients cycle	none	structural measure	ecosystem function	biological trait	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	brazil	America	rivers	community eco	invertebrates	none	biological trait	biological trait	biological trait	biological trait	biological trait	biological trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
professor	portugal	Europe	rivers	community eco	multiple	multifunctionality	biological trait	biological trait	functional trait	structural measure	functional trait	functional trait	functional trait	any	biological_ecological_traits	effect_response_traits	no
ECR-postdoc	brazil	America	lakes reservoirs	community eco	invertebrates	trophic	functional trait	functional trait	dont know	functional trait	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
senior researcher	croatia	Europe	rivers	community eco	invertebrates	multifunctionality	functional trait	structural measure	biological trait	dont know	biological trait	functional trait	functional trait	any	biological_ecological_traits	effect_response_traits	no
senior researcher	croatia	Europe	other	biogeochem	none	multifunctionality	none	functional trait	biological trait	structural measure	functional trait	functional trait	ecosystem function	none	no	no	no
senior researcher	spain	Europe	rivers	community eco	invertebrates	none	biological trait	biological trait	functional trait	structural measure	structural measure	ecosystem function	ecosystem function	any	biological_ecological_traits	no	no
